Source,Target,Weight
American Black Ale,American Black Ale,9
American Double / Imperial IPA,American Black Ale,0
American Double / Imperial Pil,American Black Ale,0
American IPA,American Black Ale,0
American Double / Imperial Sto,American Black Ale,0
Scotch Ale / Wee Heavy,American Black Ale,0
Old Ale,American Black Ale,0
English Brown Ale,American Black Ale,0
Euro Pale Lager,American Black Ale,0
Munich Helles Lager,American Black Ale,0
Märzen / Oktoberfest,American Black Ale,0
Extra Special / Strong Bitter,American Black Ale,0
Saison / Farmhouse Ale,American Black Ale,2
Belgian Strong Pale Ale,American Black Ale,0
Flanders Red Ale,American Black Ale,0
Foreign / Export Stout,American Black Ale,0
Hefeweizen,American Black Ale,0
American Stout,American Black Ale,0
Herbed / Spiced Beer,American Black Ale,0
American Porter,American Black Ale,0
California Common / Steam Beer,American Black Ale,0
American Strong Ale,American Black Ale,1
American Pale Ale (APA),American Black Ale,0
Witbier,American Black Ale,0
English Barleywine,American Black Ale,0
Pumpkin Ale,American Black Ale,0
Japanese Rice Lager,American Black Ale,0
Cream Ale,American Black Ale,0
Fruit / Vegetable Beer,American Black Ale,0
Gose,American Black Ale,0
American Brown Ale,American Black Ale,0
American Barleywine,American Black Ale,0
American Pale Wheat Ale,American Black Ale,0
Rye Beer,American Black Ale,0
American Amber / Red Ale,American Black Ale,0
Belgian IPA,American Black Ale,0
German Pilsener,American Black Ale,0
Oatmeal Stout,American Black Ale,0
Bock,American Black Ale,0
English India Pale Ale (IPA),American Black Ale,0
Lambic - Fruit,American Black Ale,0
Dubbel,American Black Ale,0
Belgian Dark Ale,American Black Ale,0
Bière de Garde,American Black Ale,0
Baltic Porter,American Black Ale,0
Russian Imperial Stout,American Black Ale,0
American Blonde Ale,American Black Ale,0
Tripel,American Black Ale,0
Flanders Oud Bruin,American Black Ale,0
English Stout,American Black Ale,0
Quadrupel (Quad),American Black Ale,0
Milk / Sweet Stout,American Black Ale,0
Winter Warmer,American Black Ale,0
Vienna Lager,American Black Ale,0
Irish Red Ale,American Black Ale,0
American Adjunct Lager,American Black Ale,0
English Bitter,American Black Ale,0
Schwarzbier,American Black Ale,0
Belgian Strong Dark Ale,American Black Ale,0
Belgian Pale Ale,American Black Ale,0
Scottish Ale,American Black Ale,0
Light Lager,American Black Ale,0
American Amber / Red Lager,American Black Ale,0
American Pale Lager,American Black Ale,0
Dortmunder / Export Lager,American Black Ale,0
Altbier,American Black Ale,0
Berliner Weissbier,American Black Ale,0
English Porter,American Black Ale,0
Maibock / Helles Bock,American Black Ale,0
Irish Dry Stout,American Black Ale,0
Keller Bier / Zwickel Bier,American Black Ale,0
English Strong Ale,American Black Ale,0
Wheatwine,American Black Ale,0
English Pale Ale,American Black Ale,0
Bière de Champagne / Bière B,American Black Ale,0
Czech Pilsener,American Black Ale,0
American Wild Ale,American Black Ale,0
Doppelbock,American Black Ale,0
Dunkelweizen,American Black Ale,0
Gueuze,American Black Ale,0
Eisbock,American Black Ale,0
Euro Strong Lager,American Black Ale,0
Scottish Gruit / Ancient Herbe,American Black Ale,0
Lambic - Unblended,American Black Ale,0
Munich Dunkel Lager,American Black Ale,0
Roggenbier,American Black Ale,0
Faro,American Black Ale,0
Kölsch,American Black Ale,0
American Dark Wheat Ale,American Black Ale,0
Sahti,American Black Ale,0
Smoked Beer,American Black Ale,0
Euro Dark Lager,American Black Ale,0
Weizenbock,American Black Ale,0
American Black Ale,American Double / Imperial IPA,0
American Double / Imperial IPA,American Double / Imperial IPA,45
American Double / Imperial Pil,American Double / Imperial IPA,0
American IPA,American Double / Imperial IPA,0
American Double / Imperial Sto,American Double / Imperial IPA,0
Scotch Ale / Wee Heavy,American Double / Imperial IPA,0
Old Ale,American Double / Imperial IPA,0
English Brown Ale,American Double / Imperial IPA,0
Euro Pale Lager,American Double / Imperial IPA,0
Munich Helles Lager,American Double / Imperial IPA,0
Märzen / Oktoberfest,American Double / Imperial IPA,0
Extra Special / Strong Bitter,American Double / Imperial IPA,0
Saison / Farmhouse Ale,American Double / Imperial IPA,0
Belgian Strong Pale Ale,American Double / Imperial IPA,0
Flanders Red Ale,American Double / Imperial IPA,0
Foreign / Export Stout,American Double / Imperial IPA,0
Hefeweizen,American Double / Imperial IPA,1
American Stout,American Double / Imperial IPA,0
